id,cost
0,21006.82571796663
1,20832.24208562754
2,20542.36979071488
3,20542.36979071488
4,20684.26713403974
5,21108.16666967937
6,20631.708418540566
7,19592.82614602986
8,19787.20548308095
9,20466.764994139885
10,20020.779399064693
11,19546.707527770057
12,19664.90588961221
13,18587.18081529942
14,18364.85363644592
15,19203.178634508567
16,19594.062108533744
17,20739.671834483408
18,19964.383398958635
19,19986.854783840565
20,19458.739291482612
21,19884.395250992366
22,17963.695912987245
23,18185.998427060003
24,19111.65879133549
25,19763.870275597015
26,19781.81126022943
27,18795.93421971255
28,18795.93421971255
29,17954.105254629645
30,17922.990242355812
31,17797.789855758394
32,17634.29151443096
33,18639.124215089923
34,18977.327555256546
35,18332.394880280546
36,18451.411116756855
37,19047.73319570935
38,18573.193346684286
39,18871.983281153272
40,18346.75021880388
41,18346.75021880388
42,18501.52018708092
43,18317.179156610367
44,18861.01319828255
45,18154.32302590277
46,19029.32928728642
47,18846.066365765757
48,18496.137924395793
49,18846.066365765757
50,19431.275223163226
51,19014.842609581414
52,19566.699359703245
53,19310.0899058797
54,18538.180722192345
55,18865.428290376967
56,18557.61069755852
57,18027.179746297654
58,17484.232088266705
59,17197.19703336057
60,18039.135676908765
61,16254.633507843757
62,17245.751991134923
63,16300.73834095443
64,17342.749692518715
65,16671.722836354525
66,17846.091050550902
67,17846.091050550902
68,17850.17935777216
69,17850.17935777216
70,18675.134946183833
71,18845.1522559323
72,18552.320801298087
73,18865.57062224323
74,18492.64632845689
75,18330.823595528323
76,17896.569445063924
77,18422.439877794015
78,18526.246099126296
79,18127.31224542294
80,17568.070954776438
81,17761.55402810165
82,17419.40237873735
83,17138.706775813098
84,17419.40237873735
85,17859.957762002112
86,18213.01464828837
87,18789.324612179105
88,18789.324612179105
89,18958.490891406116
90,18252.169365813385
91,18252.169365813385
92,18089.95117004977
93,18615.663440578963
94,18615.663440578963
95,18512.559424427855
96,18914.86468468342
97,18983.466424560876
98,18983.466424560876
99,18913.68211616115
100,19580.70066139024
101,18657.60356269201
102,18087.8158249066
103,17996.55248718365
104,16575.35868037947
105,17605.912555734067
106,17589.024951447955
107,17480.8461196093
108,17309.348801951397
109,17837.636916211042
110,17244.972701326617
111,18090.2539612562
112,18482.44429726999
113,17900.422780342327
114,18780.69821932228
115,18038.946125358256
116,18245.107144383717
117,18595.112746571333
118,18845.962215888336
119,18663.266969762382
120,18003.84351798759
121,18160.476005219814
122,18079.87084344862
123,18210.7876639811
124,17977.074865903905
125,17901.7013496229
126,18286.7460609257
127,17000.17928556926
128,16549.780159132995
129,17332.446143473644
130,17593.195948378365
131,18013.796224665755
132,18013.796224665755
133,17603.23918919435
134,18088.924246670376
135,18372.06759510563
136,18372.06759510563
137,18354.72727196862
138,18435.837594196593
139,17820.244778282613
140,19384.184764249745
141,17898.694969392705
142,17198.07647539757
143,17877.901638494826
144,16828.095059194595
145,15615.0004237881
146,16364.111393807078
147,17640.827594871396
148,17251.821128509226
149,18319.809791674666
150,18645.605995733575
151,18276.460092499052
152,18638.55056304456
153,19657.54515443189
154,20016.72605589227
155,18415.53543155074
156,17876.708933522958
157,19087.538844642553
158,18519.24560023159
159,18519.24560023159
160,18316.611804929
161,17798.847181588426
162,18519.24560023159
163,18179.473806276143
164,17722.387943955917
165,17223.545448512254
166,18125.088073057217
167,16761.684754202462
168,16587.486149367898
169,16587.486149367898
170,16695.738681387404
171,17075.375146529354
172,17967.831583634408
173,18394.972776294533
174,20198.626368536257
175,19071.665718863413
176,20183.556401525697
177,19273.31755679837
178,18765.276461012796
179,18975.912504997155
180,19282.178431304405
181,19077.78058858899
182,17958.78916826019
183,18738.3909526361
184,17579.78719061358
185,17197.533180665752
186,18580.33494724588
187,19004.418149344423
188,18918.520762596738
189,17583.618332857022
190,18785.691173040603
191,18887.359399553337
192,17653.686237086906
193,18528.842404468298
194,18113.464165657217
195,18113.464165657217
196,18113.464165657217
197,18086.27161407229
198,17019.05846430623
199,18606.48669840908
200,18096.78734231514
201,18784.31845878245
202,18250.409451247175
203,18385.160938507546
204,17042.716041652406
205,17428.895877073057
206,17506.36737808403
207,18621.56356562023
208,17587.125160096937
209,17682.186680877774
210,17682.186680877774
211,17377.592594071008
212,16339.440208674723
213,17972.61003837682
214,17083.974318198114
215,17546.794439734473
216,17734.913385672146
217,17605.542005488645
218,17920.143804918833
219,18198.79856402459
220,18389.1143994707
221,18978.50957484453
222,17818.803330609728
223,17356.980078844117
224,18076.234287606956
225,18076.234287606956
226,18076.234287606956
227,18519.822828928292
228,17739.536814507792
229,19527.96326489207
230,19383.659849012165
231,18791.58374999359
232,17249.772412138478
233,17472.95127162497
234,17401.53910325496
235,17527.574747638457
236,18934.517638655478
237,18934.517638655478
238,18371.098994006068
239,18185.858998538068
240,17633.61847163717
241,18185.858998538068
242,18671.88312491535
243,18763.91031826742
244,18763.91031826742
245,18432.825235485827
246,18473.599309443554
247,18874.34803989692
248,18504.160940544305
249,18254.12101304649
250,17201.02975914589
251,17619.489335131453
252,17682.402597518783
253,18311.328761102806
254,18722.018288934156
255,17952.717649460188
256,17952.717649460188
257,17952.717649460188
258,18097.272620699256
259,17793.395075548833
260,18102.136603816096
261,17797.585510501285
262,18011.66923595916
263,18551.12464512584
264,18008.398891640427
265,17418.5422995825
266,15898.31700266403
267,15898.31700266403
268,17090.999909790382
269,16586.429709269563
270,16579.152230836582
271,17169.02291292637
272,17804.43932441266
273,17078.63545576427
274,17426.741178604658
275,17201.862478825733
276,17352.932543560593
277,17443.369795091603
278,17530.330001317474
279,17567.690641299883
280,17797.08785915581
281,17890.756140092417
282,18770.294733680148
283,19038.55068492412
284,18104.85551950106
285,18731.361842793354
286,18937.02241406219
287,18913.085601969316
288,19232.16360825597
289,16965.262165611624
290,18090.770404409115
291,18724.00400001529
292,18240.90841972659
293,18240.90841972659
294,17069.68675814156
295,17390.882294396913
296,17963.378950653427
297,18392.72063884489
298,18134.077298936005
